property_type;state_name;rooms;min;max
PH;Capital Federal;-1;0;19
PH;Capital Federal;1;20;35
PH;Capital Federal;2;36;45
PH;Capital Federal;3;46;65
PH;Capital Federal;4;66;96
PH;Capital Federal;5;97;120
PH;Capital Federal;6;121;170
PH;Capital Federal;7;171;186
PH;Capital Federal;8;187;190
PH;Capital Federal;9;191;231
PH;Capital Federal;10;232;300
PH;Capital Federal;-1;301;1000000
apartment;Capital Federal;-1;0;19
apartment;Capital Federal;1;20;33
apartment;Capital Federal;2;34;45
apartment;Capital Federal;3;46;67
apartment;Capital Federal;4;68;99
apartment;Capital Federal;5;100;168
apartment;Capital Federal;6;169;201
apartment;Capital Federal;7;202;223
apartment;Capital Federal;8;224;289
apartment;Capital Federal;9;290;303
apartment;Capital Federal;10;304;450
apartment;Capital Federal;-1;451;1000000
house;Capital Federal;-1;0;19
house;Capital Federal;1;20;40
house;Capital Federal;2;41;81
house;Capital Federal;3;82;106
house;Capital Federal;4;107;150
house;Capital Federal;5;151;195
house;Capital Federal;6;196;260
house;Capital Federal;7;261;280
house;Capital Federal;8;281;300
house;Capital Federal;9;301;350
house;Capital Federal;10;351;485
house;Capital Federal;-1;486;1000000
