tipo_propiedad,localidad,provincia,sup_total,sup_cubierta,precio_m2,ambientes,ratio_sup,amenities,cochera
apartment,Mataderos,Capital Federal,55.0,55.0,1310.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,45.0,40.0,3450.0,1.0,1.125,0,0
apartment,Palermo Soho,Capital Federal,50.0,30.0,3720.0,1.0,1.6666666666666667,0,0
apartment,Palermo Soho,Capital Federal,42.0,31.0,4770.0,1.0,1.3548387096774193,0,0
PH,Mataderos,Capital Federal,140.0,98.0,2440.0,4.0,1.3350148154716495,0,0
apartment,Palermo,Capital Federal,104.0,96.0,3650.0,3.0,1.0833333333333333,0,0
apartment,Palermo,Capital Federal,118.0,73.0,3710.0,4.0,1.6164383561643836,0,0
apartment,Flores,Capital Federal,43.0,43.0,1740.0,2.0,1.0,0,0
apartment,Boedo,Capital Federal,80.0,77.0,1880.0,4.0,1.0389610389610389,0,0
apartment,Las Cañitas,Capital Federal,220.0,130.0,3690.0,3.0,1.6923076923076923,0,0
apartment,Balvanera,Capital Federal,141.0,124.0,1940.0,5.0,1.1370967741935485,0,0
house,Boedo,Capital Federal,504.0,324.0,1700.0,6.0,1.3873987004832735,0,0
apartment,Caballito,Capital Federal,50.0,50.0,2200.0,3.0,1.0,0,0
apartment,Caballito,Capital Federal,100.0,46.0,3710.0,2.0,2.1739130434782608,0,0
apartment,Caballito,Capital Federal,81.0,75.0,2940.0,3.0,1.08,0,0
apartment,Caballito,Capital Federal,81.0,75.0,2970.0,3.0,1.08,0,0
apartment,Caballito,Capital Federal,70.0,67.0,1610.0,3.0,1.044776119402985,0,0
apartment,Nuñez,Capital Federal,50.0,50.0,3460.0,2.0,1.0,0,0
apartment,Almagro,Capital Federal,50.0,40.0,2750.0,2.0,1.25,0,0
house,Capital Federal,Capital Federal,180.0,165.0,1030.0,2.0,2.756564547185661,0,0
house,Capital Federal,Capital Federal,744.0,350.0,1400.0,3.0,2.756564547185661,0,0
house,Capital Federal,Capital Federal,720.0,261.0,1690.0,3.0,2.756564547185661,0,0
apartment,Belgrano,Capital Federal,55.0,55.0,3240.0,3.0,1.0,0,1
house,Capital Federal,Capital Federal,340.0,240.0,1540.0,3.0,2.756564547185661,0,0
PH,Colegiales,Capital Federal,153.22113052185628,126.0,1980.0,6.0,1.2160407184274309,0,0
house,Floresta,Capital Federal,600.0,170.0,1290.0,3.0,1.4969030453806893,0,0
apartment,Balvanera,Capital Federal,80.0,80.0,1610.0,4.0,1.0,0,0
apartment,Caballito,Capital Federal,51.0,51.0,2510.0,2.0,1.0,0,0
apartment,Barrio Norte,Capital Federal,35.0,35.0,2660.0,1.0,1.0,0,0
PH,Barracas,Capital Federal,156.0,120.0,1330.0,5.0,1.2779371444887702,0,0
apartment,Recoleta,Capital Federal,196.0,196.0,1940.0,7.0,1.0,0,0
PH,Palermo,Capital Federal,240.0,200.0,1580.0,2.0,1.3192903501845645,0,0
apartment,Villa Crespo,Capital Federal,42.0,39.0,1890.0,1.0,1.0769230769230769,0,0
apartment,Villa Crespo,Capital Federal,44.0,41.0,1760.0,1.0,1.0731707317073171,0,0
apartment,Las Cañitas,Capital Federal,68.0,48.0,4900.0,2.0,1.4166666666666667,0,0
apartment,Belgrano,Capital Federal,57.0,54.0,4440.0,2.0,1.0555555555555556,0,0
apartment,Belgrano,Capital Federal,160.0,150.0,3670.0,4.0,1.0666666666666667,0,0
apartment,Villa Crespo,Capital Federal,33.0,31.0,2000.0,1.0,1.064516129032258,0,0
apartment,Belgrano,Capital Federal,69.0,53.0,4490.0,2.0,1.3018867924528301,0,0
apartment,Belgrano,Capital Federal,69.0,53.0,4490.0,2.0,1.3018867924528301,0,0
apartment,Flores,Capital Federal,65.0,62.0,1600.0,3.0,1.0483870967741935,0,0
apartment,Nuñez,Capital Federal,66.0,59.0,3880.0,2.0,1.11864406779661,0,0
apartment,Nuñez,Capital Federal,45.0,39.0,3460.0,1.0,1.1538461538461537,0,0
apartment,Recoleta,Capital Federal,191.0,181.0,3430.0,5.0,1.0552486187845305,0,0
apartment,Belgrano,Capital Federal,33.0,33.0,2810.0,1.0,1.0,0,0
apartment,Caballito,Capital Federal,158.0,154.0,2890.0,5.0,1.025974025974026,0,0
PH,Almagro,Capital Federal,85.0,85.0,1940.0,4.0,1.3228168131311444,0,0
apartment,Palermo,Capital Federal,39.0,35.0,4210.0,1.0,1.1142857142857143,0,0
apartment,Puerto Madero,Capital Federal,109.0,99.0,5560.0,4.0,1.101010101010101,0,0
apartment,Constitución,Capital Federal,90.0,82.0,1080.0,3.0,1.0975609756097562,0,0
apartment,Puerto Madero,Capital Federal,198.0,185.0,6460.0,4.0,1.0702702702702702,0,0
apartment,Belgrano,Capital Federal,128.0,120.0,2830.0,4.0,1.0666666666666667,0,0
PH,Mataderos,Capital Federal,28.0,28.0,1890.0,1.0,1.3350148154716495,0,0
apartment,Recoleta,Capital Federal,33.0,33.0,3640.0,1.0,1.0,0,0
apartment,Palermo,Capital Federal,175.0,175.0,2510.0,4.0,1.0,0,0
apartment,Colegiales,Capital Federal,126.0,120.0,1980.0,4.0,1.05,0,0
apartment,Villa Urquiza,Capital Federal,127.0,123.0,2170.0,4.0,1.032520325203252,0,0
apartment,Villa Crespo,Capital Federal,120.0,114.0,2680.0,4.0,1.0526315789473684,0,0
apartment,Barrio Norte,Capital Federal,37.0,37.0,2650.0,3.0,1.0,0,0
apartment,Palermo Hollywood,Capital Federal,47.0,41.0,3290.0,2.0,1.146341463414634,0,0
apartment,Saavedra,Capital Federal,38.0,32.0,2970.0,1.0,1.1875,0,0
apartment,Saavedra,Capital Federal,71.0,67.0,2700.0,3.0,1.0597014925373134,0,0
apartment,Palermo,Capital Federal,153.0,153.0,5030.0,4.0,1.0,0,0
apartment,Parque Chas,Capital Federal,42.0,42.0,2520.0,1.0,1.0,0,0
apartment,Barracas,Capital Federal,128.0,128.0,2300.0,4.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2310.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2340.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2370.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2400.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,32.0,32.0,2350.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,32.0,32.0,2380.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,32.0,32.0,2410.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2320.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2350.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2380.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2410.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,27.0,27.0,2440.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,33.0,33.0,2290.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,33.0,33.0,2320.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,33.0,33.0,2350.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,28.0,28.0,2380.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,28.0,28.0,2410.0,1.0,1.0,0,0
apartment,Paternal,Capital Federal,28.0,28.0,2440.0,1.0,1.0,0,0
apartment,Caballito,Capital Federal,28.0,25.0,2580.0,1.0,1.12,0,0
apartment,Puerto Madero,Capital Federal,54.0,50.0,7000.0,2.0,1.08,0,0
apartment,Agronomía,Capital Federal,56.0,56.0,2500.0,2.0,1.0,0,0
PH,Villa Pueyrredón,Capital Federal,116.0,68.0,2910.0,3.0,1.4982921164908727,0,0
apartment,Caballito,Capital Federal,42.0,37.0,2460.0,1.0,1.135135135135135,0,0
apartment,Coghlan,Capital Federal,39.0,34.0,2820.0,1.0,1.1470588235294117,0,0
apartment,Palermo,Capital Federal,70.0,61.0,2930.0,3.0,1.1475409836065573,0,0
apartment,Almagro,Capital Federal,77.0,72.0,2920.0,4.0,1.0694444444444444,0,0
apartment,Caballito,Capital Federal,200.0,178.0,1990.0,5.0,1.1235955056179776,0,0
apartment,Parque Centenario,Capital Federal,200.0,178.0,1990.0,5.0,1.1235955056179776,0,0
apartment,Puerto Madero,Capital Federal,54.0,50.0,7000.0,2.0,1.08,0,0
apartment,Puerto Madero,Capital Federal,54.0,50.0,6600.0,2.0,1.08,0,0
apartment,San Telmo,Capital Federal,41.0,36.0,3010.0,1.0,1.1388888888888888,0,0
apartment,Almagro,Capital Federal,56.0,47.0,2550.0,3.0,1.1914893617021276,0,0
apartment,Monserrat,Capital Federal,60.0,60.0,2000.0,2.0,1.0,0,0
house,Floresta,Capital Federal,200.0,100.0,2800.0,3.0,1.4969030453806893,0,0
apartment,Belgrano,Capital Federal,150.0,130.0,4000.0,3.0,1.1538461538461537,0,0
apartment,Recoleta,Capital Federal,140.0,136.0,2780.0,4.0,1.0294117647058822,0,0
apartment,Palermo,Capital Federal,175.0,175.0,2170.0,5.0,1.0,0,0
apartment,Palermo,Capital Federal,43.0,43.0,2210.0,2.0,1.0,0,0
apartment,Belgrano,Capital Federal,44.0,44.0,2660.0,2.0,1.0,0,0
apartment,Villa Urquiza,Capital Federal,97.0,97.0,2370.0,3.0,1.0,0,0
apartment,Villa Devoto,Capital Federal,54.0,54.0,2630.0,2.0,1.0,0,0
apartment,Barrio Norte,Capital Federal,122.0,122.0,2050.0,2.0,1.0,0,0
apartment,Boca,Capital Federal,83.0,74.0,1890.0,3.0,1.1216216216216217,0,0
house,Capital Federal,Capital Federal,297.0,140.0,1490.0,2.0,2.756564547185661,0,0
house,Capital Federal,Capital Federal,1050.0,280.0,1790.0,3.0,2.756564547185661,0,0
PH,Mataderos,Capital Federal,326.0,160.0,1530.0,4.0,1.3350148154716495,0,0
apartment,Caballito,Capital Federal,28.0,25.0,2620.0,1.0,1.12,0,0
PH,Mataderos,Capital Federal,150.0,150.0,1100.0,3.0,1.3350148154716495,0,0
house,Parque Avellaneda,Capital Federal,191.0,166.0,960.0,3.0,1.1833744746866173,0,0
apartment,Boca,Capital Federal,33.0,31.0,1710.0,1.0,1.064516129032258,0,0
apartment,Coghlan,Capital Federal,104.0,80.0,2680.0,4.0,1.3,0,0
apartment,Palermo,Capital Federal,106.0,100.0,3100.0,3.0,1.06,0,0
apartment,Recoleta,Capital Federal,43.0,43.0,3880.0,2.0,1.0,0,0
apartment,San Telmo,Capital Federal,55.0,55.0,1710.0,3.0,1.0,0,0
apartment,Boca,Capital Federal,55.0,55.0,1710.0,3.0,1.0,0,0
apartment,Barracas,Capital Federal,55.0,55.0,1710.0,3.0,1.0,0,0
apartment,Recoleta,Capital Federal,28.0,28.0,3750.0,1.0,1.0,0,0
